,noun_phrase,entity,entity_type
0,that,Bernie Sanders,PERSON
1,who,Lighthizer,PERSON
2,The White House,Ian Kullgren,PERSON
3,who,Lighthizer,PERSON
4,The White House,Ian Kullgren,PERSON
5,it,Alyssa,PERSON
6,she,Coralee Armstrong,PERSON
7,she,young-adult author Debbie Rigaud,PERSON
8,her family,Biden,PERSON
9,she,Obama,PERSON
10,we,Texas,GPE
11,"""The squad","him:""You're Boris Johnson",PERSON
12,a vision,Lisa,PERSON
13,many,Castro,PERSON
14,a lot,Condoleezza Rice,PERSON
15,Gov. Patty Judge, South Bend,GPE
16,I,Tom Nichols,PERSON
17,Democrats,Senate Majority Leader Mitch McConnell,PERSON
18,I,Tom Nichols,PERSON
19,neither Trump campaign, Steve Cortes,PERSON
20,I,Tom Nichols,PERSON
21,The stance,Harris,PERSON
22,that,Hillary Clinton,PERSON
23,that,President Mike Pence,PERSON
24,he,Vermont Sen. Bernie Sanders,PERSON
25,them,their federal Pell,PERSON
26,former U.S. servicemembers,Donald Trump,PERSON
27,Other memes,special counsel Robert Mueller,PERSON
28,that,"the name ""Arsov",PERSON
29,which,Hillary Clinton,PERSON
30,her union,Betsy DeVos,PERSON
31,who,Ms. Warren,PERSON
32,Representative Deb Haaland,Ms. Warren,PERSON
33,I,Elizabeth Warren,PERSON
34,Buttigieg,former Chapel Hill mayor Mark Kleinschmidt,PERSON
35,she,Mayor Pete,PERSON
36,Clinton,Manhattan,GPE
37,Boston,activist Jonathan Cohn,PERSON
38,Harris,SEIU President Mary Kay Henry,PERSON
39,A recent CBS News Battleground Tracker poll,Harris,PERSON
40,One,Montana Gov. Steve Bullock,PERSON
41,The more Democrats,President Trump,PERSON
42,he,Klobuchar,GPE
43,Iowa State Treasurer Michael Fitzgerald,Warren,GPE
44,she,Mr. Sanders,PERSON
45,An NBC News/Wall Street Journal poll,Mr. Biden,PERSON
46,who,South Carolina,GPE
47,A man,Biden,PERSON
48,that,Russia,GPE
49,who,Speaker Nancy Pelosi,PERSON
50,The waiver,California,GPE
